 ,Area,Mean,Min,Max,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,6280.475,255,255,255,140.731,0,0,134.859,99.463
2,30.777,255,255,255,8.469,814,1,125.614,6.344
3,10.419,255,255,255,6.361,961,74,24.007,3.630
4,8.354,255,255,255,5.004,1087,0,151.434,2.881
5,25.074,255,255,255,11.717,1184,0,124.816,3.723
6,43.151,255,255,255,12.270,1261,0,128.375,5.200
7,135.868,255,255,255,23.082,1732,0,130.023,10.863
8,2.847,255,255,255,3.077,2000,4,125.961,1.797
9,4.551,255,255,255,3.835,742,1,121.464,1.873
10,9.990,255,255,255,6.322,1025,47,156.801,2.963
11,0.794,255,255,255,1.468,813,76,86.186,0.829
12,20.819,255,255,255,7.402,1154,199,75.872,5.677
13,2.620,255,255,255,3.382,1430,183,175.030,1.347
14,1.297,255,255,255,1.775,1170,207,31.504,0.992
15,6.752,255,255,255,6.465,1202,184,158.279,2.387
16,1.066,255,255,255,1.504,1417,217,144.246,1.009
17,0.739,255,255,255,1.152,1655,238,53.616,0.880
18,0.916,255,255,255,1.532,1623,254,59.349,0.955
19,0.622,255,255,255,1.248,1655,246,149.421,0.684
20,0.999,255,255,255,1.623,1265,253,133.781,1.036
21,0.782,255,255,255,1.143,7,269,160.017,0.936
22,0.820,255,255,255,1.268,1947,318,74.358,0.878
23,2.632,255,255,255,4.237,0,376,64.026,1.722
24,14.920,255,255,255,8.117,0,392,93.103,3.076
25,0.629,255,255,255,1.081,665,403,161.565,0.879
26,2.062,255,255,255,2.457,633,490,40.972,1.265
27,0.558,255,255,255,1.072,55,455,149.931,0.857
28,1.848,255,255,255,2.050,27,547,167.619,1.387
29,0.689,255,255,255,1.045,31,595,52.595,0.925
30,5.937,255,255,255,5.388,1160,670,104.162,1.692
31,1.926,255,255,255,2.539,640,758,67.380,1.033
32,0.522,255,255,255,1.351,303,738,167.471,0.568
33,3.300,255,255,255,3.991,692,737,104.886,1.671
34,2.971,255,255,255,3.168,1941,749,114.590,1.481
35,3.612,255,255,255,3.142,631,770,122.949,2.106
36,0.565,255,255,255,1.715,0,785,94.899,0.488
37,2.999,255,255,255,3.509,616,794,111.209,1.228
38,2.625,255,255,255,2.357,353,828,166.827,1.696
39,1.163,255,255,255,1.466,1553,867,60.018,1.194
40,0.608,255,255,255,1.176,22,861,94.764,0.862
41,0.854,255,255,255,1.297,395,870,109.799,0.922
42,0.513,255,255,255,1.071,345,876,155.772,0.781
43,0.970,255,255,255,1.341,330,910,56.889,1.070
44,3.066,255,255,255,3.363,265,893,129.699,1.498
45,50.850,255,255,255,15.687,341,1217,79.599,8.559
46,2.208,255,255,255,2.643,1434,954,115.145,1.277
47,6.196,255,255,255,3.484,296,957,121.239,2.790
48,1.967,255,255,255,1.920,455,966,172.694,1.462
49,7.539,255,255,255,4.322,1990,982,122.074,2.881
50,0.510,255,255,255,1.127,1283,1010,4.970,0.781
51,1.640,255,255,255,1.626,477,1026,41.348,1.407
52,5.107,255,255,255,3.065,1085,1061,67.521,2.441
53,1.578,255,255,255,1.817,275,1059,30.700,1.243
54,4.420,255,255,255,4.686,700,1038,123.524,1.770
55,13.709,255,255,255,7.273,1301,1077,145.670,3.692
56,2.615,255,255,255,2.212,478,1069,112.036,1.893
57,0.715,255,255,255,1.652,963,1086,108.970,0.622
58,0.944,255,255,255,2.140,1028,1114,34.778,0.593
59,0.947,255,255,255,1.245,897,1104,11.310,1.112
60,1.085,255,255,255,3.281,0,1164,85.732,0.488
61,3.865,255,255,255,2.865,1256,1113,119.624,1.757
62,65.925,255,255,255,18.724,428,1147,136.902,8.831
63,2.077,255,255,255,4.951,2011,1163,104.859,1.191
64,0.689,255,255,255,1.102,1681,1191,77.196,0.879
65,0.961,255,255,255,1.314,1625,1210,131.987,1.009
66,1.345,255,255,255,2.044,1844,1211,130.156,1.051
67,8.218,255,255,255,4.472,0,1227,100.697,2.734
68,0.594,255,255,255,1.469,1699,1230,111.448,0.716
69,16.792,255,255,255,7.737,310,1244,125.496,3.662
70,0.639,255,255,255,2.053,5,1327,115.346,0.494
71,12.195,255,255,255,6.431,1027,1432,113.256,2.825
72,2.255,255,255,255,2.818,904,1497,27.897,1.107
73,61.820,255,255,255,15.509,1438,1481,93.610,8.286
74,0.997,255,255,255,1.424,961,1518,59.036,0.981
75,1.502,255,255,255,1.835,1511,1705,28.610,1.147
76,0.634,255,255,255,1.140,327,1740,46.736,0.823
77,99.037,255,255,255,18.492,1285,1737,132.325,7.293
78,0.644,255,255,255,1.397,1478,1730,143.531,0.672
79,8.628,255,255,255,6.004,713,1736,121.363,2.892
80,0.958,255,255,255,1.869,1878,1770,56.725,0.846
81,1.173,255,255,255,1.670,755,1750,142.125,0.989
82,1.132,255,255,255,1.924,1494,1779,35.707,1.223
83,2.403,255,255,255,2.058,410,1778,22.306,1.612
84,17.114,255,255,255,6.045,1948,1889,80.233,4.544
85,5.004,255,255,255,3.645,502,1856,50.981,2.021
86,4.759,255,255,255,3.730,819,1803,104.400,2.113
87,25.182,255,255,255,8.627,43,1896,123.690,5.998
88,9.487,255,255,255,5.234,1554,1988,149.128,3.076
89,1.018,255,255,255,2.100,1471,2042,178.668,0.830
90,0.615,255,255,255,1.560,1873,2032,159.864,0.635
